Institution,Course,City,Country,Date,Level
University of Padua,Research methods in economics: understanding decision making and       consumer behavior to promote healthy choices                                                           ,Padua,Italy,2025 - ongoing,Postgraduate
University of Padua,"Lab of sustainability, markets, and enhancement of organic foods",Padua,Italy,2025 - ongoing,Undergraduate
University of Padua,Principles of Food Economics                                                        ,Vicenza,Italy,2025 - ongoing,Undergraduate
